totinc,p,ainc,pop,tinc,sinc,year,iso
93955.92397261718,0.99,1190204.2989657184,28666399.328147255,997953.5531747779,0.0633384383145745,1997,ES
93955.92397261718,0.9949999999999999,2093954.4641069444,28666399.328147255,1471337.0262445696,0.08914624541257339,1997,ES
93955.92397261718,0.999,5143159.216508663,28666399.328147255,3448175.0438738354,0.049266114355986025,1997,ES
93955.92397261718,0.9998999999999999,25680381.589334443,28666399.328147255,11495138.470410777,0.027332370864496528,1997,ES
99584.14645658719,0,0,29070524.281264983,1.7351527483840007e-9,0,1998,ES
99584.14645658719,0.1,278.6326450864649,29070524.281264983,0.001393891222714547,2.797961874462943e-4,1998,ES
99584.14645658719,0.2,3721.8937442585775,29070524.281264983,2541.694407653019,0.0037374360043153083,1998,ES
99584.14645658719,0.3,24010.298929403005,29070524.281264983,17482.765511103247,0.024110563562313694,1998,ES
99584.14645658719,0.4,44938.70481433938,29070524.281264983,34434.75935286292,0.045126364399708935,1998,ES
99584.14645658719,0.5,63362.17619197777,29070524.281264983,57816.98603760358,0.06362677037112521,1998,ES
99584.14645658719,0.6,72939.16267606027,29070524.281264983,68494.49745983939,0.0732437494032822,1998,ES
99584.14645658719,0.7,80632.64539638605,29070524.281264983,77596.93940073841,0.040484679673153195,1998,ES
99584.14645658719,0.75,88693.11554248782,29070524.281264983,84184.9862290221,0.04453174460914462,1998,ES
99584.14645658719,0.8,121482.71825118369,29070524.281264983,94479.97138518778,0.12199001806391237,1998,ES
99584.14645658719,0.9,228125.32118823397,29070524.281264983,167805.1130534246,0.11453897498016057,1998,ES
99584.14645658719,0.95,534752.1212329617,29070524.281264983,317342.045431816,0.214794077274572,1998,ES
99584.14645658719,0.99,1273562.2733365286,29070524.281264983,1041570.9687299929,0.06394402716961074,1998,ES
99584.14645658719,0.9949999999999999,2347285.1834734185,29070524.281264983,1593474.8106614624,0.0942834885669985,1998,ES
99584.14645658719,0.999,6416151.140741093,29070524.281264983,4014964.28736747,0.057986499178197044,1998,ES
99584.14645658719,0.9998999999999999,37166606.48434458,29070524.281264983,15101470.608661233,0.03732181055604488,1998,ES
106885.96615076382,0,0,29731738.22734103,1.6871118230109004e-7,0,1999,ES
106885.96615076382,0.1,1107.191835431136,29731738.22734103,0.001360842596172008,0.0010358626817943807,1999,ES
106885.96615076382,0.2,3932.207412266612,29731738.22734103,2721.1129061472307,0.003678880917556745,1999,ES
106885.96615076382,0.3,24803.679450538453,29731738.22734103,13302.723433964116,0.02320574004594074,1999,ES
106885.96615076382,0.4,37799.43435585852,29731738.22734103,33026.48536039396,0.03536426316485926,1999,ES
106885.96615076382,0.5,50184.040129635105,29731738.22734103,43926.879865220224,0.04695100950750631,1999,ES
106885.96615076382,0.6,65555.02150017323,29731738.22734103,56895.96404099938,0.061331738731450626,1999,ES
106885.96615076382,0.7,87886.39236983984,29731738.22734103,78705.8710237273,0.041112222462336735,1999,ES
106885.96615076382,0.75,110446.46098168574,29731738.22734103,97726.14309501808,0.051665557677562604,1999,ES
106885.96615076382,0.8,159056.8546313964,29731738.22734103,124262.55902061037,0.14880985816888717,1999,ES
106885.96615076382,0.9,274089.2773005696,29731738.22734103,215006.72816960418,0.12821574579489853,1999,ES
106885.96615076382,0.95,581158.3473493335,29731738.22734103,361147.32095667813,0.21748724113307968,1999,ES
106885.96615076382,0.99,1372188.603300608,29731738.22734103,1133561.4420699216,0.06418937175368243,1999,ES
106885.96615076382,0.9949999999999999,2379125.299486147,29731738.22734103,1670415.4378292598,0.08903415051253533,1999,ES
106885.96615076382,0.999,6590860.3138516,29731738.22734103,4029073.8833563295,0.05549628726842357,1999,ES
106885.96615076382,0.9998999999999999,34654642.95739004,29731738.22734103,15524814.88260062,0.03242207017948825,1999,ES
114655.29755431814,0,0,29895072.735901903,6.269703057355972e-8,0,2000,ES
114655.29755431814,0.1,1247.1384798626405,29895072.735901903,0.0013636674985474057,0.0010877286147827636,2000,ES
114655.29755431814,0.2,4453.446357584556,29895072.735901903,2895.0776929754547,0.003884204613811871,2000,ES
114655.29755431814,0.3,27994.263485940595,29895072.735901903,13500.205779221023,0.024416022707261547,2000,ES
114655.29755431814,0.4,44593.68956149141,29895072.735901903,36192.8133854238,0.038893701828618135,2000,ES
114655.29755431814,0.5,56438.24381933867,29895072.735901903,51935.652739965335,0.04922427922931423,2000,ES
114655.29755431814,0.6,72885.83544803616,29895072.735901903,63821.978772751696,0.06356953145885506,2000,ES
114655.29755431814,0.7,93502.38438003104,29895072.735901903,84399.79747261033,0.04077543139065782,2000,ES
114655.29755431814,0.75,116136.96226212509,29895072.735901903,103612.1186253881,0.05064613879140871,2000,ES
114655.29755431814,0.8,172509.3550694626,29895072.735901903,130001.92394960036,0.15045912290946342,2000,ES
114655.29755431814,0.9,292108.40044538147,29895072.735901903,232734.30339904333,0.1273854792043055,2000,ES
114655.29755431814,0.95,621084.062928844,29895072.735901903,377884.6219310293,0.21667871478318915,2000,ES
114655.29755431814,0.99,1426758.324636606,29895072.735901903,1186384.0266866328,0.06221946805208222,2000,ES
114655.29755431814,0.9949999999999999,2483982.168715675,29895072.735901903,1742259.657993636,0.08665913295594407,2000,ES
114655.29755431814,0.999,6840942.372345248,29895072.735901903,4189121.5993868755,0.053698767230473836,2000,ES
114655.29755431814,0.9998999999999999,34857820.274562255,29895072.735901903,15475902.235384133,0.03040227622982982,2000,ES
121661.34583956916,0,0,30153572.603162687,1.3600244764321912e-7,0,2001,ES
121661.34583956916,0.1,1005.7260570304696,30153572.603162687,0.0011556943531488225,8.26660308654392e-4,2001,ES
121661.34583956916,0.2,4136.298901642458,30153572.603162687,3095.65858350613,0.003399846412267098,2001,ES
121661.34583956916,0.3,30174.696308321818,30153572.603162687,13489.287939638249,0.024802204923914137,2001,ES
121661.34583956916,0.4,49621.14081696301,30153572.603162687,39174.29779334698,0.040786283001009026,2001,ES
121661.34583956916,0.5,63159.26728486704,30153572.603162687,56810.54473021992,0.05191399688127163,2001,ES
121661.34583956916,0.6,80750.88212433926,30153572.603162687,69772.71455801585,0.0663734907476881,2001,ES
121661.34583956916,0.7,102135.90567614796,30153572.603162687,93093.93777363254,0.04197549557393165,2001,ES
121661.34583956916,0.75,126291.66071586747,30153572.603162687,112756.12300567309,0.05190295234872886,2001,ES
121661.34583956916,0.8,190311.7777917708,30153572.603162687,142206.76165565936,0.15642748029660028,2001,ES
121661.34583956916,0.9,318044.22522172483,30153572.603162687,256273.19561184762,0.13070882252162447,2001,ES
121661.34583956916,0.95,663074.8365427929,30153572.603162687,412683.0666623235,0.21800674058535194,2001,ES
121661.34583956916,0.99,1498599.3099910577,30153572.603162687,1253912.097235392,0.06158896647285079,2001,ES
121661.34583956916,0.9949999999999999,2556874.7985943323,30153572.603162687,1836343.6026756172,0.0840653136277507,2001,ES
121661.34583956916,0.999,6240092.37638217,30153572.603162687,4171623.733660191,0.046161606219193733,2001,ES
121661.34583956916,0.9998999999999999,25622049.855964225,30153572.603162687,13000462.795981502,0.021060140079147905,2001,ES
127444.66869865319,0,0,30806036.938040953,6.967932125337497e-10,0,2002,ES
127444.66869865319,0.1,967.8592796675536,30806036.938040953,0.0010736621991670858,7.594348900981384e-4,2002,ES
127444.66869865319,0.2,4127.047366080503,30806036.938040953,3233.2694376629506,0.0032383052254928227,2002,ES
127444.66869865319,0.3,33131.20444017274,30806036.938040953,12695.686517490492,0.02599654012873029,2002,ES
127444.66869865319,0.4,53446.81317851083,30806036.938040953,43288.80905312615,0.0419372687176797,2002,ES
127444.66869865319,0.5,66666.45135000143,30806036.938040953,60675.718062011714,0.052310113895494746,2002,ES
127444.66869865319,0.6,83668.05148175979,30806036.938040953,74464.52823996365,0.06565049157104831,2002,ES
127444.66869865319,0.7,107513.9208932161,30806036.938040953,98387.90261463875,0.04218062708744457,2002,ES
127444.66869865319,0.75,133733.90400240172,30806036.938040953,117591.69901303058,0.052467437582116416,2002,ES
127444.66869865319,0.8,202846.03842542204,30806036.938040953,151219.5327114197,0.1591640046591966,2002,ES
